strike,optiontype,BUY/SELL,price,current_price,Datetime
19300,CE,SELL,277.5,223.85,01/09/2023 09:20:59
19300,PE,SELL,175.45,0.1,01/09/2023 09:20:59
20000,CE,BUY,28.1,0.05,01/09/2023 09:20:59
18600,PE,BUY,35.95,0.05,01/09/2023 09:20:59
19300,PE,SELL,151.55,0.1,01/09/2023 12:36:59
18600,PE,BUY,29.15,0.05,01/09/2023 12:36:59
19300,PE,SELL,136.3,0.1,01/09/2023 13:02:59
18600,PE,BUY,27.0,0.05,01/09/2023 13:02:59
19300,PE,SELL,106.0,0.1,04/09/2023 09:20:59
18600,PE,BUY,21.3,0.05,04/09/2023 09:20:59
19300,PE,SELL,95.0,0.1,04/09/2023 12:18:59
18600,PE,BUY,17.4,0.05,04/09/2023 12:18:59
19300,PE,SELL,85.0,0.1,04/09/2023 14:43:59
18600,PE,BUY,16.2,0.05,04/09/2023 14:43:59
19300,PE,SELL,76.45,0.1,05/09/2023 09:58:59
18600,PE,BUY,15.95,0.05,05/09/2023 09:58:59
19300,PE,SELL,68.05,0.1,05/09/2023 14:52:59
18600,PE,BUY,13.95,0.05,05/09/2023 14:52:59
19300,PE,SELL,60.95,0.1,06/09/2023 15:09:59
18600,PE,BUY,13.5,0.05,06/09/2023 15:09:59
19300,PE,SELL,54.8,0.1,07/09/2023 14:06:59
18600,PE,BUY,13.45,0.05,07/09/2023 14:06:59
19300,PE,SELL,47.8,0.1,07/09/2023 14:38:59
18600,PE,BUY,13.4,0.05,07/09/2023 14:38:59
19300,PE,SELL,40.5,0.1,08/09/2023 09:20:59
18600,PE,BUY,11.35,0.05,08/09/2023 09:20:59
19300,PE,SELL,36.1,0.1,08/09/2023 10:01:59
18600,PE,BUY,11.75,0.05,08/09/2023 10:01:59
19300,PE,SELL,29.3,0.1,11/09/2023 09:20:59
18600,PE,BUY,10.15,0.05,11/09/2023 09:20:59
19300,PE,SELL,26.3,0.1,11/09/2023 12:18:59
18600,PE,BUY,11.45,0.05,11/09/2023 12:18:59
19300,PE,SELL,23.4,0.1,12/09/2023 09:20:59
18600,PE,BUY,11.95,0.05,12/09/2023 09:20:59
19300,PE,SELL,20.2,0.1,14/09/2023 09:20:59
18600,PE,BUY,8.5,0.05,14/09/2023 09:20:59
19300,PE,SELL,17.65,0.1,14/09/2023 14:18:59
18600,PE,BUY,6.9,0.05,14/09/2023 14:18:59
19300,PE,SELL,14.4,0.1,15/09/2023 09:24:59
18600,PE,BUY,5.85,0.05,15/09/2023 09:24:59
19300,PE,SELL,12.9,0.1,15/09/2023 11:00:59
18600,PE,BUY,5.45,0.05,15/09/2023 11:00:59
19300,PE,SELL,11.6,0.1,18/09/2023 09:31:59
18600,PE,BUY,5.0,0.05,18/09/2023 09:31:59
19300,PE,SELL,10.25,0.1,18/09/2023 11:19:59
18600,PE,BUY,4.35,0.05,18/09/2023 11:19:59
19300,PE,SELL,9.15,0.1,18/09/2023 13:08:59
18600,PE,BUY,4.0,0.05,18/09/2023 13:08:59
19300,PE,SELL,8.2,0.1,18/09/2023 14:25:59
18600,PE,BUY,3.35,0.05,18/09/2023 14:25:59
19300,PE,SELL,7.35,0.1,22/09/2023 11:57:59
18600,PE,BUY,2.25,0.05,22/09/2023 11:57:59
19300,PE,SELL,6.55,0.1,25/09/2023 11:53:59
18600,PE,BUY,1.7,0.05,25/09/2023 11:53:59
19300,PE,SELL,5.7,0.1,25/09/2023 11:56:59
18600,PE,BUY,1.6,0.05,25/09/2023 11:56:59
19300,PE,SELL,5.1,0.1,25/09/2023 12:26:59
18600,PE,BUY,1.8,0.05,25/09/2023 12:26:59
19300,PE,SELL,4.5,0.1,25/09/2023 13:38:59
18600,PE,BUY,1.55,0.05,25/09/2023 13:38:59
19300,PE,SELL,3.95,0.1,25/09/2023 14:34:59
18600,PE,BUY,1.25,0.05,25/09/2023 14:34:59
19300,PE,SELL,3.45,0.1,26/09/2023 13:36:59
18600,PE,BUY,1.05,0.05,26/09/2023 13:36:59
19300,PE,SELL,3.1,0.1,26/09/2023 14:29:59
18600,PE,BUY,0.9,0.05,26/09/2023 14:29:59
19300,PE,SELL,2.7,0.1,26/09/2023 14:58:59
18600,PE,BUY,0.8,0.05,26/09/2023 14:58:59
19300,PE,SELL,2.4,0.1,26/09/2023 15:11:59
18600,PE,BUY,0.7,0.05,26/09/2023 15:11:59
19300,PE,SELL,2.1,0.1,27/09/2023 14:49:59
18600,PE,BUY,0.85,0.05,27/09/2023 14:49:59
19300,PE,SELL,1.0,0.1,28/09/2023 09:20:59
18600,PE,BUY,0.4,0.05,28/09/2023 09:20:59
19300,PE,SELL,0.85,0.1,28/09/2023 10:27:59
18600,PE,BUY,0.45,0.05,28/09/2023 10:27:59
19300,PE,SELL,0.75,0.1,28/09/2023 10:30:59
18600,PE,BUY,0.45,0.05,28/09/2023 10:30:59
19300,PE,SELL,0.65,0.1,28/09/2023 11:28:59
18600,PE,BUY,0.3,0.05,28/09/2023 11:28:59
19300,PE,SELL,0.55,0.1,28/09/2023 11:37:59
18600,PE,BUY,0.25,0.05,28/09/2023 11:37:59
19300,PE,SELL,0.45,0.1,28/09/2023 12:31:59
18600,PE,BUY,0.3,0.05,28/09/2023 12:31:59
19300,CE,SELL,243.0,223.85,28/09/2023 14:03:59
20000,CE,BUY,1.1,0.05,28/09/2023 14:03:59
19300,PE,SELL,0.4,0.1,28/09/2023 14:12:59
18600,PE,BUY,0.25,0.05,28/09/2023 14:12:59
19300,PE,SELL,0.35,0.1,28/09/2023 14:51:59
18600,PE,BUY,0.15,0.05,28/09/2023 14:51:59
19300,PE,SELL,0.3,0.1,28/09/2023 15:02:59
18600,PE,BUY,0.05,0.05,28/09/2023 15:02:59
19300,PE,SELL,0.25,0.1,28/09/2023 15:03:59
18600,PE,BUY,0.05,0.05,28/09/2023 15:03:59
19300,PE,SELL,0.2,0.1,28/09/2023 15:07:59
18600,PE,BUY,0.05,0.05,28/09/2023 15:07:59
19300,CE,SELL,216.3,223.85,28/09/2023 15:08:59
20000,CE,BUY,0.15,0.05,28/09/2023 15:08:59
19300,PE,SELL,0.15,0.1,28/09/2023 15:12:59
18600,PE,BUY,0.05,0.05,28/09/2023 15:12:59
19300,PE,SELL,0.1,0.1,28/09/2023 15:20:59
18600,PE,BUY,0.05,0.05,28/09/2023 15:20:59
19300,PE,SELL,0.05,0.1,28/09/2023 15:24:59
18600,PE,BUY,0.05,0.05,28/09/2023 15:24:59
